Trial,time,PositionX,PositionY,PositionZ,frameDiff,
1,2.939998,-1.254632,-2.318687,10,,
1,2.959998,-1.095818,-2.318687,10,0.08617741,
1,2.979998,-0.8681837,-2.313393,10,0.09528881,
1,2.999998,-0.7093695,-2.286924,10,,
1,3.019998,-0.4764426,-2.23928,10,0.134967,
1,3.039998,-0.3229221,-2.196929,10,,
1,3.059998,-0.1852828,-2.143991,10,0.191896,
1,3.079998,-0.01588118,-2.064584,10,,
1,3.099998,0.1217581,-1.97459,10,0.3127378,
1,3.119998,0.2064589,-1.900476,10,,
1,3.139998,0.3070409,-1.784012,10,0.4303968,
1,3.159998,0.3546857,-1.709899,10,,
1,3.179998,0.4023304,-1.582848,10,,
1,3.199998,0.4129167,-1.503441,10,0.6563683,
1,3.219998,0.4129167,-1.381683,10,,
1,3.239998,0.3970355,-1.302276,10,,
1,3.259998,0.3599794,-1.1964,10,,
1,3.279998,0.3229233,-1.122287,10,,
1,3.299998,0.2752786,-1.058761,10,,
1,3.319998,0.2011652,-0.97406,10,,
1,3.339998,0.1058757,-0.8946532,10,,
1,3.359998,0.04235101,-0.8575967,10,,
1,3.379997,-0.05293786,-0.8205399,10,,
1,3.399997,-0.1164638,-0.8152461,10,,
1,3.419997,-0.201164,-0.8152461,10,,
1,3.439997,-0.2488081,-0.8417153,10,,
1,3.459997,-0.2964523,-0.8787718,10,,
1,3.479997,-0.3493913,-0.9528849,10,,
1,3.499997,-0.3917412,-1.053467,10,,
1,3.519997,-0.4076223,-1.132874,10,1.506903,
1,3.539997,-0.4129167,-1.26522,10,0.1900613,
1,3.559997,-0.4129167,-1.365802,10,0.1468018,
1,3.579997,-0.3758594,-1.514028,10,,
1,3.599997,-0.3388039,-1.619904,10,0.06548051,
1,3.619997,-0.2593968,-1.773425,10,0.1799895,
1,3.639997,-0.201164,-1.874007,10,,
1,3.659997,-0.1058757,-2.01694,10,0.2968785,
1,3.679997,-0.0423498,-2.112228,10,0.2863065,
1,3.699997,0.04764474,-2.249868,10,0.2695688,
1,3.719997,0.1058757,-2.339862,10,0.2043433,
1,3.739997,0.1905765,-2.477501,10,0.144007,
1,3.759997,0.2382213,-2.567496,10,,
1,3.779997,0.3070409,-2.705135,10,0.1538851,
1,3.799997,0.3546857,-2.800423,10,,
1,3.819997,0.4182116,-2.932768,10,,
1,3.839997,0.4658551,-3.017469,10,,
1,3.859997,0.5399685,-3.144521,10,0.3086796,
1,3.879997,0.5823183,-3.223927,10,,
1,3.899997,0.6617254,-3.335097,10,,
1,3.919997,0.7093701,-3.403918,10,0.5174946,
1,3.939997,0.7623086,-3.467443,10,,
1,3.959997,0.8417157,-3.552144,10,,
1,3.979997,0.8999467,-3.599788,10,,
1,3.999997,0.9952362,-3.65802,10,0.6780412,
1,4.019997,1.074643,-3.684489,10,,
1,4.039997,1.1964,-3.705665,10,,
1,4.059997,1.339333,-3.705665,10,0.6567736,
