Trial,time,PositionX,PositionY,PositionZ,frameDiff
1,4.399997,0.1307922,-0.09101182,10,0
1,4.419997,0.1194192,-0.04550487,10,0
1,4.439997,0.1194192,-0.03412873,10,0
1,4.459997,0.1080473,1.192093E-06,10,0
1,4.479997,0.1080473,0.03413081,10,0
1,4.499997,0.08530007,0.07963657,10,0
1,4.519997,0.07392704,0.1023901,10,0
1,4.539997,0.05117981,0.1478958,10,0.5128499
1,4.559997,0.03980678,0.1820254,10,0
1,4.579997,0.03980678,0.1820254,10,0
1,4.599997,0.03980678,0.1820254,10,0
1,4.619997,0.03980678,0.1820254,10,0
1,4.639997,0.05117981,0.1820254,10,0
1,4.659997,0.1876585,0.1934028,10,0
1,4.679996,0.2672721,0.1934028,10,0.4290651
1,4.699996,0.4833655,0.1934028,10,0.3388889
1,4.719996,0.6767105,0.2047789,10,0.2724414
1,4.739996,0.9724151,0.2730387,10,0.2589826
1,4.759996,1.108895,0.3071684,10,0.2130048
1,4.779996,1.177134,0.3299218,10,0.1848499
1,4.799996,1.245374,0.341298,10,0
1,4.819996,1.268121,0.3526741,10,0
1,4.839996,1.290867,0.3526741,10,0.1832108
1,4.859996,1.324986,0.3640515,10,0
1,4.879996,1.347733,0.3754276,10,0
1,4.899996,1.427346,0.3981811,10,0
1,4.919996,1.47284,0.4095572,10,0.1679498
1,4.939996,1.552453,0.4323107,10,0
1,4.959996,1.620692,0.4436868,10,0.1463893
1,4.979996,1.836784,0.4891932,10,0.1456875
1,4.999996,1.96189,0.5119467,10,0.167871
1,5.019996,2.132489,0.5460763,10,0.2902158
1,5.039996,2.234848,0.5460763,10,0.3884088
1,5.059996,2.325835,0.5460763,10,0
1,5.079996,2.371328,0.5460763,10,0
1,5.099996,2.450941,0.5347002,10,0
1,5.119996,2.496434,0.5347002,10,0
1,5.139996,2.530554,0.5347002,10,0
1,5.159996,2.541927,0.5460763,10,0
1,5.179996,2.564673,0.5688298,10,0
1,5.199996,2.564673,0.6029594,10,0
1,5.219996,2.5533,0.6598413,10,0
1,5.239996,2.530554,0.7053483,10,0
1,5.259996,2.473688,0.7622308,10,0
1,5.279996,2.405447,0.7963604,10,0
1,5.299996,2.325835,0.8077377,10,0
1,5.319996,2.268969,0.8077377,10,0
1,5.339996,2.09837,0.7963604,10,0
1,5.359996,1.927771,0.750854,10,0.2448186
1,5.379996,1.529705,0.6825948,10,0.2519846
1,5.399996,1.199882,0.6143355,10,0.4439603
1,5.419996,0.9155489,0.5574524,10,0.5889559
1,5.439996,0.5061104,0.4664403,10,0.8339668
1,5.459996,0.3696317,0.4209334,10,0.7866797
1,5.479996,0.2786463,0.3868037,10,0.6860446
1,5.499996,0.1876585,0.3299218,10,0.5910443
1,5.519996,0.1649124,0.2957922,10,0.5046428
1,5.539996,0.1194192,0.2502853,10,0
1,5.559996,0.08530007,0.1820254,10,0.4894185
1,5.579996,0.06255284,0.1023901,10,0
1,5.599996,0.03980678,0.03413081,10,0
1,5.619996,0.01705954,-0.07963449,10,0
1,5.639996,0.005687688,-0.1706475,10,0
1,5.659996,0.005687688,-0.3185424,10,0.170659
1,5.679996,0.005687688,-0.3754255,10,0
1,5.699996,0.005687688,-0.4209316,10,0
1,5.719995,0.02843375,-0.5233204,10,0
1,5.739995,0.03980678,-0.59158,10,0
1,5.759995,0.05117981,-0.6370869,10,0
1,5.779995,0.05117981,-0.6939691,10,0.2086716
1,5.799995,0.05117981,-0.7508522,10,0
1,5.819995,0.03980678,-0.8418649,10,0
1,5.839995,0.02843375,-0.9328768,10,0
1,5.859995,-0.02843257,-1.092149,10,0.3573378
1,5.879995,-0.09667192,-1.251421,10,0
1,5.899995,-0.1649119,-1.38794,10,0.4172901
1,5.919995,-0.2672715,-1.592718,10,0.4244187
1,5.939995,-0.3696305,-1.820249,10,0.4038815
1,5.959995,-0.4378704,-1.968145,10,0
1,5.979995,-0.4947374,-2.138793,10,0.3469093
1,5.999995,-0.5288576,-2.241182,10,0
1,6.019995,-0.5743497,-2.423207,10,0.296483
1,6.039995,-0.5857239,-2.525596,10,0
1,6.059995,-0.5857239,-2.627985,10,0.3133546
1,6.079995,-0.5857239,-2.684868,10,0
1,6.099995,-0.5857239,-2.77588,10,0
1,6.119995,-0.5857239,-2.866893,10,0
1,6.139995,-0.5857239,-2.980659,10,0.2901307
1,6.159995,-0.5857239,-3.048918,10,0
1,6.179995,-0.5857239,-3.151307,10,0.2851364
1,6.199995,-0.5743497,-3.242321,10,0
1,6.219995,-0.5516037,-3.321955,10,0.3022011
1,6.239995,-0.517484,-3.481228,10,0.352585
1,6.259995,-0.4947374,-3.57224,10,0
1,6.279995,-0.4947374,-3.6405,10,0
1,6.299995,-0.4833643,-3.720136,10,0
1,6.319995,-0.4719901,-3.765641,10,0
1,6.339995,-0.4606177,-3.811148,10,0
1,6.359995,-0.4606177,-3.822525,10,0
1,6.379995,-0.4606177,-3.822525,10,0
1,6.399995,-0.4606177,-3.822525,10,0
1,6.419995,-0.517484,-3.799771,10,0
1,6.439995,-0.6312166,-3.731512,10,0
1,6.459995,-0.9724151,-3.503981,10,0
1,6.479995,-1.165761,-3.356085,10,0.2695041
1,6.499995,-1.37048,-3.151307,10,0.4168367
1,6.519995,-1.506959,-3.003412,10,0.445883
1,6.539995,-1.654812,-2.787257,10,0.4555256
1,6.559995,-1.734425,-2.639362,10,0.3734175
1,6.579995,-1.848157,-2.400454,10,0.3010457
1,6.599995,-1.905024,-2.229805,10,0.2246959
1,6.619995,-1.950517,-2.127416,10,0
1,6.639995,-1.99601,-1.945392,10,0.1591303
1,6.659995,-2.03013,-1.774743,10,0
1,6.679995,-2.041503,-1.615471,10,0
1,6.699995,-2.109743,-1.35381,10,0.1940698
1,6.719995,-2.155236,-1.205914,10,0.2634256
1,6.739995,-2.212102,-1.058019,10,0
1,6.759995,-2.223475,-1.012514,10,0
1,6.779994,-2.234849,-0.9101245,10,0
1,6.799994,-2.246222,-0.8646175,10,0.3429847
1,6.819994,-2.257595,-0.7849818,10,0
1,6.839994,-2.268969,-0.7280988,10,0
1,6.859994,-2.291715,-0.6939691,10,0
1,6.879994,-2.325835,-0.6370869,10,0
1,6.899994,-2.382701,-0.5346978,10,0.3486996
1,6.919994,-2.428195,-0.4778147,10,0
1,6.939994,-2.496434,-0.3754255,10,0
1,6.959994,-2.564674,-0.2957898,10,0
1,6.979994,-2.65566,-0.1706475,10,0.1882236
1,6.999994,-2.712526,-0.07963449,10,0
1,7.019994,-2.746646,0.02275467,10,0
1,7.039994,-2.758019,0.1137662,10,0
1,7.059994,-2.758019,0.1706493,10,0.1857106
1,7.079994,-2.758019,0.3299218,10,0
1,7.099994,-2.758019,0.4095572,10,0
1,7.119994,-2.758019,0.5460763,10,0.1802852
1,7.139994,-2.758019,0.750854,10,0
1,7.159994,-2.758019,0.7622308,10,0
1,7.179994,-2.758019,0.9101266,10,0.134057
1,7.199994,-2.758019,0.9897625,10,0
1,7.219994,-2.758019,1.137657,10,0.1065539
1,7.239994,-2.758019,1.22867,10,0
1,7.259994,-2.758019,1.319683,10,0.07935372
1,7.279994,-2.758019,1.456202,10,0
1,7.299994,-2.7239,1.604097,10,0.04933261
1,7.319994,-2.701153,1.672356,10,0.0547455
1,7.339994,-2.644287,1.808875,10,0.07786845
1,7.359994,-2.576047,1.911264,10,0
1,7.379994,-2.450941,2.036407,10,0.06499718
1,7.399994,-2.337208,2.127418,10,0.07900743
1,7.419994,-2.234849,2.207055,10,0.09508292
1,7.439994,-2.132489,2.263937,10,0.1177885
1,7.459994,-1.99601,2.320821,10,0.1750218
1,7.479994,-1.882277,2.35495,10,0.2277736
1,7.499994,-1.779918,2.38908,10,0.299203
1,7.519994,-1.711678,2.42321,10,0
1,7.539994,-1.586572,2.457339,10,0
1,7.559994,-1.450093,2.502845,10,0
1,7.579994,-1.279493,2.571104,10,0
1,7.599994,-1.120268,2.605234,10,0
1,7.619994,-0.9496679,2.639363,10,0
1,7.639994,-0.8700556,2.662117,10,0
1,7.659994,-0.8131886,2.662117,10,0
1,7.679994,-0.8018162,2.662117,10,0
1,7.699994,-0.8018162,2.662117,10,0
1,7.719994,-0.8018162,2.662117,10,0
1,7.739994,-0.7904426,2.662117,10,0
1,7.759994,-0.7790689,2.605234,10,0
1,7.779994,-0.7790689,2.491469,10,1.301309
1,7.799994,-0.8018162,2.377703,10,0
1,7.819993,-0.8473083,2.252561,10,0
1,7.839993,-0.9724151,2.025029,10,1.108015
1,7.859993,-1.165761,1.831628,10,0.9614648
1,7.879993,-1.347733,1.69511,10,0
1,7.899993,-1.609319,1.501708,10,0.6652644
1,7.919993,-1.779918,1.319683,10,0.5871122
1,7.939993,-1.893651,1.194541,10,0.5156437
1,7.959993,-1.99601,1.080775,10,0.444673
1,7.979993,-2.132489,0.9442562,10,0.3584147
1,7.999993,-2.200729,0.8532435,10,0.3315078
1,8.019994,-2.246222,0.750854,10,0
1,8.039994,-2.314462,0.6029594,10,0.2863055
1,8.059995,-2.348582,0.5347002,10,0
1,8.079995,-2.394075,0.4209334,10,0.26047
1,8.099996,-2.416821,0.3185445,10,0
1,8.119996,-2.439568,0.2161556,10,0.25561
1,8.139997,-2.462314,0.06826043,10,0
