Trial,time,PositionX,PositionY,PositionZ,frameDiff,userLevel,trialOffset,levelOffset
5,10.76006,3.156084,2.866896,10,0,3,10,5
5,10.78006,3.167458,2.866896,10,0,3,10,5
5,10.80006,3.178831,2.878271,10,0,3,10,5
5,10.82006,3.178831,2.878271,10,0,3,10,5
5,10.84006,3.178831,2.889649,10,0,3,10,5
5,10.86006,3.167458,2.901025,10,0,3,10,5
5,10.88006,3.110592,2.935155,10,0,3,10,5
5,10.90006,2.962739,2.992038,10,0.3177283,3,10,5
5,10.92006,2.849006,3.037544,10,0,3,10,5
5,10.94006,2.644287,3.094427,10,0.2464591,3,10,5
5,10.96006,2.576047,3.117179,10,0.2589636,3,10,5
5,10.98006,2.485061,3.128557,10,0.2777351,3,10,5
5,11.00006,2.450941,3.128557,10,0,3,10,5
5,11.02006,2.348581,3.105804,10,0.2851887,3,10,5
5,11.04006,2.291715,3.071673,10,0,3,10,5
5,11.06006,2.166609,2.992038,10,0.2625307,3,10,5
5,11.08006,2.132489,2.946531,10,0.2426627,3,10,5
5,11.10006,2.06425,2.832766,10,0.2054782,3,10,5
5,11.12006,2.03013,2.775882,10,0,3,10,5
5,11.14007,1.984637,2.639363,10,0.1638307,3,10,5
5,11.16007,1.973263,2.593858,10,0.1681034,3,10,5
5,11.18007,1.973263,2.480093,10,0,3,10,5
5,11.20007,1.973263,2.445962,10,0,3,10,5
5,11.22007,1.984637,2.377703,10,0.1123412,3,10,5
5,11.24007,1.99601,2.35495,10,0,3,10,5
5,11.26007,2.052876,2.298067,10,0,3,10,5
5,11.28007,2.086997,2.252561,10,0.07833245,3,10,5
5,11.30007,2.155236,2.172925,10,0,3,10,5
5,11.32007,2.177982,2.150172,10,0,3,10,5
5,11.34007,2.212102,2.093288,10,0,3,10,5
5,11.36007,2.246223,2.059159,10,0.1395529,3,10,5
5,11.38007,2.314462,1.95677,10,0,3,10,5
5,11.40007,2.371328,1.877134,10,0.2369004,3,10,5
5,11.42007,2.405447,1.786121,10,0,3,10,5
5,11.44007,2.416822,1.729239,10,0,3,10,5
5,11.46007,2.462315,1.558591,10,0.2229436,3,10,5
5,11.48007,2.485061,1.422072,10,0,3,10,5
5,11.50007,2.507807,1.240046,10,0.1720241,3,10,5
5,11.52007,2.519181,1.080775,10,0,3,10,5
5,11.54007,2.541927,0.8873737,10,0.09102777,3,10,5
5,11.56007,2.5533,0.7281005,10,0.152391,3,10,5
5,11.58008,2.5533,0.5574524,10,0,3,10,5
5,11.60008,2.564673,0.3868037,10,0.1057441,3,10,5
5,11.62008,2.58742,0.1137662,10,0.1433647,3,10,5
5,11.64008,2.610167,-0.07963449,10,0,3,10,5
5,11.66008,2.644287,-0.352672,10,0.2359261,3,10,5
5,11.68008,2.667033,-0.5005682,10,0.2291783,3,10,5
5,11.70008,2.667033,-0.6712165,10,0.2617189,3,10,5
5,11.72008,2.678407,-0.7849818,10,0.259625,3,10,5
5,11.74008,2.701153,-0.9215006,10,0.2397921,3,10,5
5,11.76008,2.701153,-1.001136,10,0.2282172,3,10,5
5,11.78008,2.723899,-1.137655,10,0.16905,3,10,5
5,11.80008,2.735273,-1.205914,10,0,3,10,5
5,11.82008,2.735273,-1.308303,10,0.08957738,3,10,5
5,11.84008,2.735273,-1.35381,10,0,3,10,5
5,11.86008,2.735273,-1.42207,10,0,3,10,5
